KEY	ja	zh-TW	ms	fil
camp_sn	信頼	信賴	Kepercayaan	Tiwala
camp_title	10日間無料トライアル &<br>寄付キャンペーン	10日免費試用 &<br>公益捐贈計畫	Percubaan 10 hari percuma &<br>kempen derma	10 araw libreng trial &<br>donasyon campaign
camp_sub	製品への自信から、満足を保証しつつ<br>社会的価値を実現する、ベベスワンならではの経営哲学です。	源於對產品的信心，在保障滿意的同時<br>實現社會價值——這是貝貝天鵝獨特的經營哲學。	Dari keyakinan pada produk, jamin kepuasan sambil<br>wujudkan nilai sosial — falsafah unik BEBESWAN.	Mula sa tiwala sa produk, garantiya ng kasiyahan at<br>halaga sa lipunan — pilosopiya ng BEBESWAN.
camp_c1_title	10日間無料体験と100%返金保証	10日免費體驗與100%退款保證	Percubaan 10 hari & jaminan bayaran balik 100%	10 araw libreng subok at 100% refund guarantee
camp_c1_lb1	体験サービス	體驗服務	Perkhidmatan percubaan	Serbisyong pagsubok
camp_c1_p1	ご購入後、自宅で最大<strong>10日間</strong>じっくりお試しいただけます。	購買後可在家最長<strong>10天</strong>充分試用。	Selepas beli, cuba di rumah sehingga <strong>10 hari</strong>.	Pagkatapos bumili, subukan sa bahay hanggang <strong>10 araw</strong>.
camp_c1_lb2	自由な返品	自由退貨	Pulangan bebas	Libreng pagbabalik
camp_c1_p2	合わない場合、デザイン・色・機能にご不満の場合も、<strong>10日以内に100%返金</strong>の無料返品を提供します。	若不合身或對設計、顏色、功能不滿意，我們提供<strong>10日內100%退款</strong>的免費退貨服務。	Jika tidak sesuai atau tidak puas dengan reka bentuk/warna/fungsi, kami sediakan pulangan percuma <strong>100% dalam 10 hari</strong>.	Kung hindi bagay o hindi nasiyahan sa disenyo/kulay/function, may <strong>100% refund sa loob ng 10 araw</strong>.
camp_c1_ht	返品率<br><span>満足への自信</span>	退貨率<br><span>對品質的信心</span>	Kadar pulangan<br><span>keyakinan pada kepuasan</span>	Return rate<br><span>tiwala sa kasiyahan</span>
camp_c2_title	返品商品の寄付プロセス	退貨商品捐贈流程	Proses derma produk pulang	Proses ng donasyon mula sa returns
camp_c2_lb1	再販禁止と支援	禁止轉售與援助	Larang jual semula & bantu	Bawal ibenta muli at suporta
camp_c2_p1	トライアル中に返品された商品は<strong>再販せず</strong>、支援が必要な方へ届けます。	試用期退回的商品<strong>不再販售</strong>，轉交需要協助的家庭。	Produk pulang <strong>tidak dijual semula</strong> — diberi kepada yang memerlukan.	Ang ibinalik na produk ay <strong>hindi ibinebenta muli</strong> — ipinapamahagi sa nangangailangan.
camp_c2_lb2	資源循環と分かち合い	資源循環與分享	Kitaran sumber & berkongsi	Pag-ikot ng yaman at pagbabahagi
camp_c2_p2	質の良い返品品を廃棄せず<strong>脆弱層向け支援物資</strong>として活用し、持続的な分かち合いを実践します。	不丟棄優質退貨品；作為<strong>支援弱勢物資</strong>——實踐永續分享。	Tiada buang produk baik; digunakan sebagai <strong>bantuan untuk kumpulan rentan</strong> — kitaran sosial mampan.	Hindi itinatapon ang magandang returns; ginagawang <strong>tulong para sa vulnerable</strong> — sustainable na pagtulong.
camp_c3_title	主な寄付先・団体	主要受捐單位	Organisasi terima derma	Pangunahing benepisyaryo
don_home	家庭	家庭	Keluarga	Pamilya
don_i1	ひとり親家庭	單親家庭	Ibu bapa tunggal	Single-parent
don_i2	母子・父子家庭	單親育兒家庭	Keluarga ibu/bapa tunggal	Solo parent households
don_i3	祖父母家庭	祖父母照護家庭	Keluarga datuk nenek	Mga tahanang may lolo at lola
don_orgn	団体・機関	團體與機構	Organ & institusi	Organisasyon at institusyon
don_i4	ワールド・ビジョン	世界宣明會	World Vision	World Vision
don_i5	グッド・ネイバーズ	好鄰居	Good Neighbors	Good Neighbors
don_i6	ミッションセンター	宣教中心	Pusat misi	Mission center
don_i7	保育施設	托育機構	Tadika / taska	Daycare
camp_sum	お客様には<strong>失敗しない買い物</strong>を、企業には<strong>社会的責任</strong>を、困難な環境の親には<strong>育児の負担軽減</strong>を——ベベスワンの中核的な共創モデルです。	為顧客提供<strong>零失敗的購物體驗</strong>，為企業實踐<strong>社會責任</strong>，為身處困境的父母<strong>減輕育兒負擔</strong>——這是貝貝天鵝核心的共創模式。	Untuk pelanggan <strong>pengalaman beli tanpa risau</strong>, untuk syarikat <strong>tanggungjawab sosial</strong>, untuk ibu bapa <strong>kurangkan beban penjagaan</strong> — model win-win teras BEBESWAN.	Sa customer <strong>risk-free na bili</strong>, sa kumpanya <strong>pananagutan sa lipunan</strong>, sa magulang <strong>gaanin ang bigat ng pag-aalaga</strong> — core na win-win ng BEBESWAN.
cta_title	ひとりでもみんなができる<br>育児の新しい基準	一個人也能完成的<br>育兒新標準	Piawaian baharu penjagaan — <br>semua boleh seorang diri.	Bagong pamantayan sa pag-aalaga — <br>kayang-kaya mag-isa.
cta_desc	ベベスワン エタニティとともに<br>手は自由に、心は安らかに。	與貝貝天鵝 ETERNITY 同行<br>雙手自由，心境安穩。	Bersama BEBESWAN ETERNITY:<br>tangan bebas, hati tenang.	Kasama ang BEBESWAN ETERNITY:<br>malayang kamay, panatag na loob.
cta_btn	ETERNITYを見る	了解 ETERNITY	Lihat ETERNITY	Tingnan ang ETERNITY
footer_desc	ひとりでもみんなができる<br>ベスト型抱っこ紐の新基準	一個人也能搞定的<br>背心式揹帶新標準	Piawaian baharu gendong rompi — <br>semua boleh sendiri.	Bagong pamantayan sa vest carrier — <br>kayang mag-isa.
foot_sup	サポート	支援	SOKONGAN	SUPORTA
foot_l1	取扱説明書	使用手冊	Manual	Manwal
foot_l2	よくある質問	常見問題	Soalan lazim	FAQ
foot_l3	品質保証	品質保證	Jaminan kualiti	Garantiya ng kalidad
foot_con	お問い合わせ	聯絡我們	HUBUNGI	MAKIPAG-UGNAYAN
foot_c1	カスタマーセンター	客服中心	Pusat pelanggan	Customer center
foot_c2	メールでのお問い合わせ	電郵洽詢	E-mel pertanyaan	Email inquiry
footer_cr	© 2025 bebeswan. 無断複写・転載を禁じます。	© 2025 bebeswan. 版權所有。	© 2025 bebeswan. Hak cipta terpelihara.	© 2025 bebeswan. All rights reserved.
